name,position,years,pro_bowls,draft_round,franchises,franchise_count
A.J. Hawk,LB,2006-2016,1,1,Packers -> Bengals -> Falcons,3
Aaron Glenn,CB,1999-2008,3,1,Jets -> Texans -> Cowboys -> Jaguars -> Saints,5
Aaron Rodgers,QB,2005-2025,10,1,Packers -> Jets -> Steelers,3
Adam Archuleta,SS,2001-2007,0,1,Rams -> Commanders -> Bears,3
Adam Jones,DB,2005-2018,1,1,Titans -> Cowboys -> Bengals -> Broncos,4
Adoree' Jackson,DB,2017-2025,0,1,Titans -> Giants -> Eagles,3
Adrian Clayborn,DL,2011-2020,0,1,Buccaneers -> Falcons -> Patriots -> Falcons -> Browns,4
Adrian Peterson,RB,2007-2021,7,1,Vikings -> Saints -> Cardinals -> Commanders -> Lions -> Titans -> Seahawks,7
Ahmad Carroll,CB,2004-2008,0,1,Packers -> Jaguars -> Jets,3
Ahman Green,RB,1999-2009,4,3,Seahawks -> Packers -> Texans -> Packers,3
Akiem Hicks,DL,2012-2022,1,3,Saints -> Patriots -> Bears -> Buccaneers,4
Al Harris,CB,1999-2011,2,6,Eagles -> Packers -> Rams,3
Alan Faneca,G,1999-2010,9,1,Steelers -> Jets -> Cardinals,3
Albert Haynesworth,DE,2002-2011,2,1,Titans -> Commanders -> Patriots -> Buccaneers,4
Alec Ogletree,LB,2013-2021,0,1,Rams -> Giants -> Jets -> Bears,4
Alex Mack,OL,2009-2021,7,1,Browns -> Falcons -> 49ers,3
Alex Smith,QB,2005-2020,3,1,49ers -> Chiefs -> Commanders,3
Alfred Morris,RB,2012-2020,2,6,Commanders -> Cowboys -> 49ers -> Cowboys -> Cardinals -> Giants,5
Alge Crumpler,TE,2001-2010,4,2,Falcons -> Titans -> Patriots,3
Allen Robinson,WR,2014-2024,1,2,Jaguars -> Bears -> Rams -> Steelers -> Lions,5
Allen Rossum,CB,1999-2008,1,3,Eagles -> Packers -> Falcons -> Steelers -> 49ers,5
Alterraun Verner,DB,2010-2017,1,4,Titans -> Buccaneers -> Dolphins,3
Amari Cooper,WR,2015-2024,5,1,Raiders -> Cowboys -> Browns -> Bills,4
Andre Carter,DE,2001-2013,1,1,49ers -> Commanders -> Patriots -> Raiders -> Patriots,4
Andre Dillard,OL,2019-2024,0,1,Eagles -> Titans -> Packers,3
Andre Gurode,G,2002-2013,5,2,Cowboys -> Ravens -> Raiders,3
Andre Johnson,WR,2003-2016,7,1,Texans -> Colts -> Titans,3
Andre Roberts,WR,2010-2022,3,3,Cardinals -> Commanders -> Lions -> Falcons -> Jets -> Bills -> Texans -> Chargers -> Panthers,9
Andre Smith,OL,2009-2021,0,1,Bengals -> Vikings -> Bengals -> Cardinals -> Bengals -> Ravens,4
Andrus Peat,OL,2015-2025,3,1,Saints -> Raiders -> Steelers,3
Andy Dalton,QB,2011-2025,3,2,Bengals -> Cowboys -> Bears -> Saints -> Panthers,5
Andy Lee,P,2004-2022,3,6,49ers -> Browns -> Panthers -> Cardinals,4
Anquan Boldin,WR,2003-2016,3,2,Cardinals -> Ravens -> 49ers -> Lions,4
Anthony Becht,TE,2000-2011,0,1,Jets -> Buccaneers -> Rams -> Cardinals -> Chiefs,5
Antoine Bethea,DB,2006-2019,3,6,Colts -> 49ers -> Cardinals -> Giants,4
Antoine Cason,CB,2008-2014,0,1,Chargers -> Cardinals -> Panthers -> Ravens,4
Antonio Brown,WR,2010-2021,7,6,Steelers -> Raiders -> Patriots -> Buccaneers,4
Antonio Cromartie,DB,2006-2016,4,1,Chargers -> Jets -> Cardinals -> Jets -> Colts,4
Antonio Smith,DL,2004-2016,1,5,Cardinals -> Texans -> Raiders -> Broncos -> Texans,4
Antowain Smith,RB,1999-2005,0,1,Bills -> Patriots -> Titans -> Saints,4
Antrel Rolle,DB,2005-2016,3,1,Cardinals -> Giants -> Bears,3
Antuan Edwards,FS,1999-2005,0,1,Packers -> Dolphins -> Rams -> Falcons,4
Aqib Talib,DB,2008-2019,5,1,Buccaneers -> Patriots -> Broncos -> Rams -> Dolphins,5
Artie Burns,DB,2016-2025,0,1,Steelers -> Bears -> Seahawks -> Dolphins,4
Asante Samuel,CB,2003-2013,4,4,Patriots -> Eagles -> Falcons,3
Ashley Lelie,WR,2002-2008,0,1,Broncos -> Falcons -> 49ers -> Raiders,4
